avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id
246.0,,,0.866838,6,,medium,0.134415,Left,4.0,124467
134.0,,,0.555718,2,,low,0.511041,Left,3.0,112210
156.0,D00-SS,1.0,0.474082,2,,medium,0.405101,Left,3.0,126150
256.0,D00-SP,,0.96136,6,,low,0.152974,Left,4.0,125346
146.0,D00-SS,,0.507349,2,,medium,0.434845,Left,3.0,113707
135.0,D00-MT,,0.482184,2,,low,0.381545,Left,3.0,121685
270.0,D00-PD,,0.867087,6,,low,0.172575,Left,4.0,119912
244.0,D00-IT,,0.926197,6,,medium,0.0618684,Left,5.0,112868
289.0,D00-IT,,0.929858,7,,low,0.161744,Left,4.0,122314
281.0,D00-SS,,0.907965,6,,medium,0.105749,Left,4.0,122394
269.0,D00-SP,,0.867086,6,,low,0.121133,Left,4.0,119750
267.0,D00-SP,,0.953585,5,,low,0.87131,Left,6.0,119512
257.0,D00-AD,,0.886631,5,,low,0.265318,Left,5.0,118061
155.0,D00-MT,,0.521682,2,,low,0.387475,Left,3.0,111718
269.0,D00-SS,,0.959077,4,,medium,0.960757,Left,5.0,126860
244.0,D00-MN,,0.943946,7,,medium,0.171328,Left,4.0,117404
256.0,D00-SS,,0.897617,5,,medium,0.753731,Left,5.0,110655
128.0,D00-SS,,0.504768,2,,medium,0.485149,Left,3.0,111708
274.0,D00-PD,,1.0,5,,low,0.799562,Left,5.0,124926
155.0,D00-SS,,0.440299,2,,low,0.415771,Left,3.0,128624
151.0,D00-SS,,0.448019,2,,low,0.42688,Left,3.0,125108
127.0,D00-ENG,,,2,,low,0.370515,Left,3.0,114322
151.0,D00-MT,,0.531487,2,,low,0.390047,Left,3.0,111365
132.0,D00-SS,,0.566959,5,,low,0.293481,Left,5.0,123197
128.0,D00-ENG,,0.499776,2,,low,0.335383,Left,3.0,113448
155.0,,,0.464598,2,,medium,0.414451,Left,3.0,127792
309.0,D00-ENG,,0.78484,6,,low,0.0785233,Left,4.0,127317
130.0,D00-MT,,0.463049,2,,low,0.401826,Left,3.0,119126
156.0,,,,2,,medium,0.465747,Left,3.0,128509
233.0,D00-ENG,,0.936729,4,,low,0.899675,Left,6.0,120875
245.0,D00-ENG,,0.877779,5,,low,0.904697,Left,5.0,115993
149.0,D00-AD,,0.505405,2,,low,0.451832,Left,3.0,111875
232.0,D00-ENG,,0.911595,4,,medium,0.805368,Left,5.0,115848
134.0,D00-MT,,0.442766,2,,medium,0.379221,Left,3.0,125664
284.0,D00-SS,,0.852702,6,,low,0.0691683,Left,4.0,0
249.0,D00-MT,,0.847301,4,,low,0.909059,Left,6.0,126241
257.0,D00-SS,,0.889916,5,,low,0.857449,Left,5.0,114810
164.0,D00-SS,,0.681106,3,,low,0.765486,Left,3.0,122449
159.0,D00-PR,,0.552437,2,,low,0.467246,Left,3.0,120537
154.0,D00-SP,,,2,1.0,medium,0.440152,Left,3.0,110293
233.0,,,0.965382,5,,medium,0.962314,Left,5.0,125077
239.0,D00-AD,,0.927427,5,,medium,0.783737,Left,5.0,127589
257.0,D00-SS,,0.990937,5,,low,0.751387,Left,6.0,123038
260.0,,,1.0,5,,low,0.808455,Left,5.0,128184
125.0,D00-TP,,,3,,medium,,Left,,120360
308.0,D00-FN,,0.736991,7,,low,0.0807958,Left,4.0,121453
239.0,D00-SS,,0.906676,4,,low,0.737457,Left,5.0,126451
306.0,D00-SS,,0.830333,6,,high,0.0674799,Left,4.0,126317
141.0,D00-SS,,0.462141,2,,low,0.435337,Left,3.0,120175
159.0,D00-ENG,,,2,,high,0.375978,Left,3.0,111951
143.0,D00-SP,,0.512455,2,,medium,0.484244,Left,3.0,111423
270.0,D00-ENG,,0.915772,5,,medium,0.871095,Left,5.0,124781
261.0,D00-SP,,0.832946,6,,low,0.115881,Left,4.0,114831
301.0,D00-ENG,,0.737223,4,,low,0.464158,Left,5.0,112846
296.0,D00-SS,,0.87755,7,,low,0.136835,Left,4.0,128630
271.0,D00-SS,,0.891916,5,,low,0.179432,Left,4.0,120770
244.0,D00-MT,,0.787106,6,,low,0.113983,Left,4.0,112282
129.0,D00-SS,,,2,,low,0.447517,Left,3.0,125903
290.0,D00-FN,,0.808025,6,,medium,0.059197,Left,4.0,129594
290.0,D00-ENG,,0.770248,6,,medium,0.0903428,Left,4.0,117772
249.0,D00-SP,,0.997662,4,,low,0.805852,Left,5.0,110508
151.0,D00-ENG,,0.506563,2,,medium,0.35549,Left,3.0,112452
225.0,D00-SS,,0.893351,4,,medium,0.814574,Left,5.0,128219
253.0,D00-ENG,,1.0,5,,medium,0.852952,Left,5.0,126639
269.0,D00-FN,,0.932009,6,,medium,0.0633131,Left,4.0,123331
274.0,D00-ENG,,0.944104,6,,low,0.159258,Left,4.0,118903
155.0,D00-MT,,0.536342,2,,low,0.43599,Left,3.0,118983
255.0,D00-SP,,0.917034,7,,low,0.150519,Left,4.0,115221
149.0,D00-PD,,0.607982,6,,low,0.471637,Left,4.0,129163
271.0,D00-SS,,0.64205,3,,low,0.418694,Left,4.0,124226
268.0,D00-ENG,,0.922942,6,,medium,0.0650439,Left,4.0,114776
153.0,,,,2,,low,0.455101,Left,3.0,121337
294.0,,,0.587699,3,,low,0.76039,Left,4.0,119768
293.0,D00-SP,,0.857715,6,,low,0.141662,Left,4.0,113143
