employee_id,age,gender,marital_status
113558,43,Male,Married
112256,24,Female,Unmarried
112586,22,Female,Unmarried
108071,36,Male,Married
116915,38,Male,Married
104555,22,Male,Unmarried
104706,51,Male,Married
118536,54,Male,Married
111712,43,Male,Married
119150,49,Male,Married
109162,37,Male,Married
105251,27,Male,Unmarried
104544,43,Female,Married
102700,47,Male,Married
113732,28,Male,Unmarried
108147,53,Male,Married
110690,28,Male,Unmarried
115701,24,Male,Unmarried
108054,39,Male,Married
116648,43,Male,Married
102076,35,Female,Married
114178,42,Male,Married
106163,22,Male,Unmarried
102212,49,Male,Married
109063,38,Male,Married
115820,40,Female,Married
106779,23,Female,Unmarried
115751,23,Female,Unmarried
100258,22,Male,Unmarried
106928,27,Male,Unmarried
114114,45,Female,Married
100745,24,Female,Unmarried
106575,25,Male,Unmarried
106011,30,Male,Married
101543,47,Male,Married
121359,25,Female,Unmarried
118103,51,Female,Married
105165,37,Male,Married
109291,51,Male,Married
111129,22,Female,Unmarried
110538,24,Female,Unmarried
110339,23,Female,Unmarried
114826,23,Female,Unmarried
135194,34,Female,Married
105415,26,Male,Unmarried
113801,44,Male,Married
107371,25,Female,Unmarried
100883,40,Female,Married
101222,36,Male,Married
109202,24,Female,Unmarried
102247,52,Male,Married
101499,31,Female,Married
100868,24,Female,Unmarried
118910,27,Male,Unmarried
104951,22,Male,Unmarried
109819,32,Male,Married
113517,51,Female,Married
117096,25,Male,Unmarried
110888,42,Male,Married
109783,43,Male,Married
113744,39,Female,Married
117014,33,Male,Married
101644,25,Male,Unmarried
107763,51,Male,Married
126572,47,Female,Married
101109,44,Female,Married
113239,27,Male,Unmarried
108314,24,Female,Unmarried
112702,34,Male,Married
112008,36,Female,Married
104311,25,Male,Unmarried
107675,38,Male,Married
106419,44,Male,Married
102113,25,Female,Unmarried
122644,29,Female,Married
129463,24,Female,Unmarried
119781,26,Male,Unmarried
117646,34,Male,Married
106142,29,Male,Unmarried
112263,33,Male,Married
111268,25,Female,Unmarried
102172,25,Female,Unmarried
115399,45,Male,Married
111760,25,Male,Unmarried
103698,38,Male,Married
128624,25,Female,Unmarried
102266,39,Male,Married
106640,24,Male,Unmarried
108402,37,Male,Married
113430,28,Male,Unmarried
112069,23,Female,Unmarried
105021,38,Female,Married
106612,37,Male,Married
131426,29,Male,Married
103271,33,Male,Married
113867,23,Female,Unmarried
112203,45,Male,Married
105490,26,Male,Unmarried
109033,53,Male,Married
107620,30,Male,Married
118210,27,Male,Unmarried
122572,25,Female,Unmarried
120715,22,Female,Unmarried
107957,53,Male,Married
139834,40,Male,Married
146220,41,Female,Married
111267,23,Male,Unmarried
115335,41,Male,Married
108799,23,Male,Unmarried
100247,25,Male,Unmarried
104254,27,Male,Unmarried
119283,46,Male,Married
103621,34,Male,Married
125014,22,Female,Unmarried
100385,44,Male,Married
112274,30,Male,Married
119983,24,Male,Unmarried
100777,26,Male,Unmarried
112669,28,Male,Unmarried
115694,26,Male,Unmarried
117486,33,Male,Married
116281,23,Female,Unmarried
134467,22,Male,Unmarried
108518,27,Male,Unmarried
122448,22,Female,Unmarried
147049,35,Female,Married
119730,26,Male,Unmarried
106113,28,Male,Unmarried
117143,29,Male,Unmarried
120768,23,Female,Unmarried
125909,24,Female,Unmarried
119296,27,Male,Unmarried
114489,41,Male,Married
133284,29,Male,Unmarried
111921,23,Male,Unmarried
107239,23,Male,Unmarried
110389,25,Male,Unmarried
112817,44,Female,Married
102637,22,Male,Unmarried
116178,24,Female,Unmarried
116026,25,Female,Unmarried
113338,29,Male,Unmarried
102824,24,Male,Unmarried
119214,24,Female,Unmarried
113360,27,Male,Unmarried
112791,48,Male,Married
125463,25,Female,Unmarried
104993,43,Male,Married
109560,33,Female,Married
114743,34,Male,Married
103049,53,Female,Married
110587,43,Male,Married
118843,24,Female,Unmarried
111489,22,Male,Unmarried
115199,35,Female,Married
114381,49,Male,Married
115952,23,Male,Unmarried
136199,31,Male,Married
100178,23,Male,Unmarried
111176,43,Male,Married
105219,22,Female,Unmarried
103836,25,Male,Unmarried
112788,45,Male,Married
100562,53,Male,Married
111208,48,Male,Married
109686,42,Male,Married
112762,49,Male,Married
107021,22,Male,Unmarried
108850,48,Male,Married
123320,25,Female,Unmarried
103102,45,Female,Married
118729,28,Female,Married
111694,24,Female,Unmarried
104093,43,Male,Married
113153,36,Male,Married
107692,25,Female,Unmarried
112165,25,Male,Unmarried
105468,25,Female,Unmarried
103371,22,Female,Unmarried
100233,53,Male,Married
108881,45,Female,Married
107107,29,Male,Unmarried
112279,32,Male,Married
118087,57,Male,Married
118443,22,Male,Unmarried
113046,22,Male,Unmarried
110408,57,Male,Married
106946,24,Female,Unmarried
100470,23,Male,Unmarried
107982,36,Male,Married
103176,40,Male,Married
106971,24,Female,Unmarried
111321,23,Male,Unmarried
109590,22,Female,Unmarried
106386,32,Male,Married
118809,42,Female,Married
118195,23,Female,Unmarried
113028,28,Male,Unmarried
118027,29,Male,Unmarried
103858,28,Male,Unmarried
105277,27,Male,Unmarried
139547,27,Male,Unmarried
102763,47,Female,Married
104196,25,Male,Unmarried
109158,27,Female,Married
114890,40,Male,Married
116702,32,Female,Married
126835,25,Female,Unmarried
114163,22,Male,Unmarried
100731,50,Male,Married
119995,44,Female,Married
111433,27,Female,Married
101811,50,Male,Married
116804,51,Male,Married
119761,52,Male,Married
103244,41,Male,Married
108823,29,Male,Unmarried
123989,22,Female,Unmarried
113383,24,Female,Unmarried
103869,22,Male,Unmarried
113352,51,Male,Married
109993,44,Female,Married
106961,42,Male,Married
115882,29,Male,Unmarried
106005,24,Female,Unmarried
119784,22,Female,Unmarried
111869,25,Female,Unmarried
118398,55,Male,Married
107767,43,Male,Married
110740,27,Male,Unmarried
105807,24,Male,Unmarried
116189,23,Male,Unmarried
108564,45,Male,Married
127703,25,Female,Unmarried
105679,29,Female,Married
145444,32,Female,Married
120087,22,Female,Unmarried
148842,42,Male,Married
104782,42,Male,Married
102486,24,Female,Unmarried
136410,48,Male,Married
125918,24,Female,Unmarried
101164,27,Male,Unmarried
105584,42,Male,Married
111746,47,Male,Married
112914,24,Male,Unmarried
105967,26,Female,Married
114151,52,Male,Married
104619,24,Female,Unmarried
108694,33,Male,Married
108364,28,Male,Unmarried
106202,45,Male,Married
118588,24,Female,Unmarried
112349,46,Female,Married
119555,27,Female,Married
113161,28,Male,Unmarried
104509,26,Male,Unmarried
103421,26,Male,Unmarried
119249,38,Male,Married
109878,50,Male,Married
103611,26,Male,Unmarried
113560,30,Male,Married
113915,25,Female,Unmarried
100499,53,Male,Married
103824,42,Male,Married
112930,36,Female,Married
108458,46,Female,Married
101294,27,Male,Unmarried
109170,28,Male,Unmarried
105198,41,Male,Married
113407,30,Male,Married
109963,48,Male,Married
114250,26,Female,Married
103150,47,Female,Married
113689,30,Male,Married
109668,26,Male,Unmarried
117858,49,Female,Married
119664,23,Male,Unmarried
117477,32,Male,Married
114579,27,Female,Married
111857,54,Male,Married
107560,26,Male,Unmarried
117946,24,Female,Unmarried
108665,22,Female,Unmarried
101704,23,Male,Unmarried
115914,43,Female,Married
113748,29,Male,Unmarried
110470,45,Male,Married
117213,31,Male,Married
106813,48,Male,Married
108462,28,Male,Unmarried
119746,24,Female,Unmarried
112891,29,Male,Unmarried
125520,45,Female,Married
119921,24,Male,Unmarried
113411,30,Male,Married
107372,26,Male,Unmarried
115994,23,Female,Unmarried
121045,24,Female,Unmarried
102207,22,Male,Unmarried
118115,46,Male,Married
104407,48,Male,Married
115004,29,Male,Unmarried
114842,24,Male,Unmarried
118540,36,Male,Married
114680,24,Male,Unmarried
104025,33,Male,Married
116434,42,Male,Married
118157,29,Male,Unmarried
109180,38,Male,Married
119867,23,Female,Unmarried
117103,51,Male,Married
112827,32,Male,Married
100266,46,Male,Married
100513,48,Female,Married
104489,54,Male,Married
107058,42,Male,Married
100798,46,Male,Married
103183,42,Female,Married
113865,31,Male,Married
118513,30,Male,Married
118151,43,Female,Married
119125,24,Female,Unmarried
103766,23,Male,Unmarried
115547,52,Female,Married
122441,41,Female,Married
113054,27,Female,Married
115386,24,Female,Unmarried
112118,30,Female,Married
105344,25,Female,Unmarried
118832,41,Female,Married
107249,40,Male,Married
119736,44,Male,Married
125513,22,Female,Unmarried
101667,52,Female,Married
145462,22,Female,Unmarried
118361,28,Male,Unmarried
108909,45,Male,Married
108028,22,Male,Unmarried
110631,47,Male,Married
101922,33,Female,Married
106266,23,Male,Unmarried
101595,28,Male,Unmarried
105313,23,Male,Unmarried
115491,27,Male,Unmarried
106853,47,Male,Married
106923,23,Female,Unmarried
103808,50,Male,Married
102576,26,Female,Married
116003,25,Male,Unmarried
101536,22,Male,Unmarried
119516,25,Male,Unmarried
119742,25,Male,Unmarried
117736,22,Male,Unmarried
119072,42,Female,Married
114243,38,Male,Married
102659,22,Male,Unmarried
125351,24,Female,Unmarried
113190,22,Female,Unmarried
102954,28,Male,Unmarried
102778,41,Female,Married
101096,36,Female,Married
108894,25,Female,Unmarried
142266,40,Male,Married
109544,41,Female,Married
114858,24,Male,Unmarried
107508,25,Female,Unmarried
117374,44,Male,Married
102619,47,Male,Married
111326,24,Female,Unmarried
114836,48,Female,Married
102979,25,Male,Unmarried
108031,55,Male,Married
101823,50,Male,Married
100302,36,Female,Married
100930,53,Male,Married
105360,48,Male,Married
116849,52,Male,Married
117779,22,Female,Unmarried
119540,24,Male,Unmarried
108254,46,Male,Married
116211,27,Male,Unmarried
126738,24,Female,Unmarried
105713,25,Female,Unmarried
146012,39,Female,Married
100861,35,Female,Married
108095,22,Female,Unmarried
107367,25,Male,Unmarried
138275,23,Female,Unmarried
117351,40,Female,Married
116615,27,Male,Unmarried
113916,29,Male,Unmarried
117725,41,Male,Married
114557,28,Male,Unmarried
116335,25,Female,Unmarried
117182,27,Female,Married
107224,29,Male,Unmarried
100411,35,Female,Married
102663,27,Male,Unmarried
106424,39,Male,Married
140481,39,Female,Married
104037,48,Male,Married
102847,27,Female,Married
105068,35,Male,Married
104171,23,Female,Unmarried
107227,26,Male,Unmarried
104696,26,Male,Unmarried
114653,30,Male,Married
100636,39,Female,Married
114321,49,Female,Married
105801,26,Male,Unmarried
107025,25,Female,Unmarried
106310,29,Male,Unmarried
101685,23,Male,Unmarried
118661,22,Male,Unmarried
106654,22,Female,Unmarried
113375,23,Female,Unmarried
128789,26,Female,Married
116056,52,Male,Married
116053,22,Male,Unmarried
120935,53,Female,Married
112259,46,Male,Married
100586,24,Female,Unmarried
110789,47,Female,Married
106970,29,Male,Unmarried
138695,31,Female,Married
113605,43,Male,Married
100855,43,Female,Married
121619,25,Female,Unmarried
100833,29,Male,Unmarried
124669,23,Female,Unmarried
121943,22,Female,Unmarried
105978,22,Male,Unmarried
102179,25,Male,Unmarried
106383,24,Female,Unmarried
111177,44,Female,Married
109021,24,Female,Unmarried
105105,28,Male,Unmarried
106404,26,Male,Unmarried
100194,29,Male,Unmarried
115996,27,Male,Unmarried
104505,37,Male,Married
106737,22,Female,Unmarried
105271,25,Male,Unmarried
134126,39,Male,Married
117256,50,Male,Married
102879,38,Male,Married
106794,23,Female,Unmarried
101510,41,Male,Married
118392,22,Female,Unmarried
114731,31,Female,Married
105685,35,Male,Married
110000,24,Female,Unmarried
116884,22,Female,Unmarried
118266,43,Male,Married
113747,22,Male,Unmarried
111983,33,Male,Married
107271,37,Male,Married
116881,37,Female,Married
108988,24,Male,Unmarried
